idnum, state, state2, stfips, zip, region, typebldg, floor, room, basement, windoor, rep, stratum, wave, starttm, stoptm, startdt, stopdt, activity, pcterr, adjwt, dupflag, zipflag, cntyfips, county
1,AZ,AZ, 4,85920, 1,1,1,2,N, , 2, 1, 30,1100,1100,112987,120287,     0.3,     0.0,   136.060971,0,0,  1,APACHE              
2,AZ,AZ, 4,85920, 1,0,9,0, , , 1, 1,117,0600,0700,070788,071188,     0.6,    33.3,   128.784975,0,0,  1,APACHE              
3,AZ,AZ, 4,85924, 1,1,1,3,N, , 4, 1,122,1145,1145,070788,070788,     0.5,     0.0,   150.245112,0,0,  1,APACHE              
4,AZ,AZ, 4,85925, 1,1,1,3,N, , 2, 1,  3,1900,1900,052088,052288,     0.6,    97.2,   136.060971,0,0,  1,APACHE              
5,AZ,AZ, 4,85932, 1,1,1,1,N, , 2, 1,118,0800,0900,070788,070788,     0.3,     0.0,   136.060971,0,0,  1,APACHE              
6,AZ,AZ, 4,85936, 1,1,1,1,N, , 5, 1, 29,0935,0930,121287,121487,     1.2,    22.7,   120.341352,0,0,  1,APACHE              
7,AZ,AZ, 4,85936, 1,0,9,0, , , 1, 1, 42,1400,1400,010188,010188,     5.0,     8.5,   128.784975,0,0,  1,APACHE              
8,AZ,AZ, 4,85936, 1,1,1,1,N, , 2, 1,  8,2045,2055,050588,050588,     3.5,     9.2,   136.060971,0,0,  1,APACHE              
9,AZ,AZ, 4,85938, 1,0,9,0, , , 2, 1, 47,0930,0940,011888,012088,     1.2,    14.9,   136.060971,0,0,  1,APACHE              
10,AZ,AZ, 4,85938, 1,1,1,3, , , 5, 1, 52,1630,1830,020288,020288,     0.6,    40.8,   120.341352,0,0,  1,APACHE              
11,AZ,AZ, 4,85938, 1,1,1,1,N, , 3, 1, 59,0600,0600,022888,030388,     1.3,    15.8,   147.430770,0,0,  1,APACHE              
12,AZ,AZ, 4,85938, 1,1,1,2, , , 4, 1, 59,0830,1045,030388,031088,     0.4,     0.0,   150.245112,1,0,  1,APACHE              
13,AZ,AZ, 4,85938, 1,1,0,2,Y, , 4, 1, 58,1930,1930,030388,030388,     4.9,     9.9,   150.245112,0,0,  1,APACHE              
14,AZ,AZ, 4,85938, 1,1,1,1,N, , 3, 1, 63,2015,2020,032188,032388,     0.6,    45.7,   147.430770,0,0,  1,APACHE              
15,AZ,AZ, 4,86512, 1,5,1,5,N, , 2, 1,123,0615,1600,070788,070788,     0.3,     0.0,   136.060971,0,0,  1,APACHE              
16,AZ,AZ, 4,85602, 3,1,1,1,N, , 4, 2, 24,1700,1700,112087,112287,     1.1,    26.9,   364.804020,0,0,  3,COCHISE             
17,AZ,AZ, 4,85602, 3,0,1,1,N, , 3, 2,  4,1830,1830,042788,050588,     0.7,    23.8,   378.243829,0,0,  3,COCHISE             
18,AZ,AZ, 4,85602, 3,0,9,0, , , 2, 2,  9,1922,2003,050588,050588,     1.0,    31.4,   363.432059,0,0,  3,COCHISE             
19,AZ,AZ, 4,85603, 3,1,1,7,N, , 2, 2, 29,0905,0907,112887,113087,     0.6,    28.3,   363.432059,0,0,  3,COCHISE             
20,AZ,AZ, 4,85603, 3,1,1,1,N, , 3, 2, 35,0800,0800,122987,123187,     2.1,    13.4,   378.243829,0,0,  3,COCHISE             
21,AZ,AZ, 4,85603, 3,1,0,1,Y, , 4, 2, 54,1300,1500,022888,030388,     0.5,     0.0,   364.804020,0,0,  3,COCHISE             
22,AZ,AZ, 4,85603, 3,1,1,1,N, , 5, 2, 59,0700,0700,030388,030388,     0.4,     0.0,   364.958323,0,0,  3,COCHISE             
23,AZ,AZ, 4,85603, 3,1,1,1,N, , 3, 2, 81,0830,0830,051988,052188,     0.6,    34.6,   378.243829,0,0,  3,COCHISE             
24,AZ,AZ, 4,85603, 3,1,1,7,Y, , 2, 2,103,1645,1715,062188,062388,     0.3,     0.0,   363.432059,0,0,  3,COCHISE             
25,AZ,AZ, 4,85603, 3,1,1,3,N, , 4, 2,  9,0800,0840,051288,051488,     0.4,     0.0,   364.804020,0,0,  3,COCHISE             
26,AZ,AZ, 4,85606, 3,0,9,0,N, , 3, 2, 94,0817,0817,061188,061388,     0.5,     0.0,   378.243829,0,0,  3,COCHISE             
27,AZ,AZ, 4,85607, 3,0,9,0, , , 4, 2, 45,1330,1330,012988,013188,     1.9,    22.8,   364.804020,0,0,  3,COCHISE             
28,AZ,AZ, 4,85607, 3,1,1,3,N, , 1, 2, 46,0900,0900,011688,011888,     3.2,    15.3,   359.164059,0,0,  3,COCHISE             
29,AZ,AZ, 4,85607, 3,1,1,3,N, , 4, 2, 64,1100,1100,031488,031688,     0.8,    43.7,   364.804020,0,0,  3,COCHISE             
30,AZ,AZ, 4,85607, 3,1,1,3,N, , 5, 2, 76,1040,1040,041588,041788,     0.5,    43.6,   364.958323,0,0,  3,COCHISE             
31,AZ,AZ, 4,85607, 3,0,9,0, , , 1, 2, 84,1534,1535,052188,052388,     0.5,     0.0,   359.164059,0,0,  3,COCHISE             
32,AZ,AZ, 4,85608, 3,1,1,1,N, , 3, 2, 50,1328,1245,012888,013088,     1.9,    11.6,   378.243829,0,0,  3,COCHISE             
33,AZ,AZ, 4,85617, 3,1,1,3,N, , 4, 2, 71,1100,1100,033088,040488,     2.2,    10.5,   364.804020,0,0,  3,COCHISE             
34,AZ,AZ, 4,85630, 3,1,1,1,N, , 5, 2, 90,0900,0905,060688,060688,     1.5,    17.0,   364.958323,0,0,  3,COCHISE             
35,AZ,AZ, 4,85635, 3,5,1,1,N, , 5, 2, 23,1534,1540,112187,112387,     2.9,    12.8,   364.958323,0,0,  3,COCHISE             
36,AZ,AZ, 4,85635, 3,1,1,2,N, , 5, 2, 24,1600,1600,112087,112287,     3.6,     9.3,   364.958323,0,0,  3,COCHISE             
37,AZ,AZ, 4,85635, 3,1,1,1, , , 1, 2, 42,1700,1700,010188,010188,     5.8,     5.7,   359.164059,1,0,  3,COCHISE             
38,AZ,AZ, 4,85635, 3,1,1,3,N, , 2, 2, 39,1630,1930,010188,011188,    11.1,     3.3,   363.432059,0,0,  3,COCHISE             
39,AZ,AZ, 4,85635, 3,1,1,3,N, , 5, 2, 60,1000,1000,031188,031388,     2.2,    13.0,   364.958323,0,0,  3,COCHISE             
40,AZ,AZ, 4,85635, 3,1,1,3,N, , 1, 2, 82,1900,1900,052888,053088,     0.4,     0.0,   359.164059,0,0,  3,COCHISE             
41,AZ,AZ, 4,85635, 3,1,1,1,N, , 5, 2, 73,0715,0715,033188,040488,     3.7,     6.5,   364.958323,0,0,  3,COCHISE             
42,AZ,AZ, 4,85635, 3,1,1,1,N, , 4, 2, 80,1235,1505,041388,041588,     1.8,    13.9,   364.804020,0,0,  3,COCHISE             
43,AZ,AZ, 4,85635, 3,1,1,3,N, , 2, 2, 90,0700,0700,060688,060688,     0.2,     0.0,   363.432059,0,0,  3,COCHISE             
44,AZ,AZ, 4,85635, 3,1,1,1,N, , 4, 2, 93,0600,0730,060688,061188,     0.4,     0.0,   364.804020,0,0,  3,COCHISE             
45,AZ,AZ, 4,85635, 3,1,1,3,N, , 4, 2,101,1744,1744,062088,062288,     0.2,     0.0,   364.804020,0,0,  3,COCHISE             
