id switch arsenic dist assoc educ
1 1 2.36 16.8260002136230 0 0
2 1 0.71 47.3219985961914 0 0
3 0 2.07 20.9669990539551 0 10
4 1 1.15 21.4860000610352 0 12
5 1 1.1 40.8740005493164 1 14
6 1 3.9 69.5179977416992 1 9
7 1 2.97 80.7109985351563 1 4
8 1 3.24 55.1459999084473 0 10
9 1 3.28 52.6469993591309 1 0
10 1 2.52 75.0719985961914 1 0
11 1 3.13 29.7740001678467 1 5
12 1 3.04 34.5040016174316 0 0
13 1 2.91 63.8040008544922 1 0
14 1 3.21 73.6039962768555 1 0
15 1 1.7 67.6549987792969 1 0
16 1 1.8 80.6600036621094 1 7
17 1 1.44 52.181999206543 0 7
18 1 1.43 52.181999206543 1 7
19 1 2.33 50.5340003967285 1 0
20 1 2.83 31.4220008850098 0 10
21 1 1.79 33.0089988708496 1 7
22 1 2.54 37.8709983825684 0 0
23 1 2.25 48.3730010986328 1 5
24 1 2.42 47.3089981079102 0 0
25 1 1.62 67.7850036621094 0 8
26 1 2.34 81.1380004882813 1 8
27 1 3.49 95.4599990844727 0 10
28 1 2.13 114.417999267578 0 16
29 1 0.93 157.628997802734 1 10
30 1 3.36 151.919998168945 1 10
31 1 1.49 107.691001892090 0 10
32 1 0.83 105.667999267578 0 10
33 1 1.37 105.625999450684 1 0
34 0 2.8 107.691001892090 0 0
35 0 0.81 107.691001892090 0 0
36 1 1.48 125.317001342773 1 3
37 0 1.92 107.691001892090 1 0
38 1 2.74 107.691001892090 0 10
39 1 2.49 107.691001892090 1 0
40 0 3.95 107.691001892090 0 0
41 1 2.75 107.691001892090 0 0
42 1 2.91 54.5699996948242 0 0
43 1 0.83 54.5699996948242 0 0
44 1 3.67 54.5699996948242 1 5
45 1 2.9 54.5699996948242 0 0
46 1 0.78 54.5699996948242 1 10
47 0 2.52 3.61800003051758 1 5
48 1 2.48 58.1669998168945 0 0
49 1 4.47 72.3460006713867 0 8
50 1 1.52 40.318000793457 0 0
51 1 1.8 67.2190017700195 0 0
52 0 0.51 99.0130004882813 0 0
53 1 0.64 115.913002014160 1 0
54 1 1.01 71.7990036010742 1 5
55 1 0.74 141.535995483398 0 8
56 1 1.81 84.6460037231445 1 0
57 1 2.69 65.931999206543 0 0
58 1 4.85 67.9400024414063 1 0
59 1 3.18 64.697998046875 0 6
60 1 5.06 62.6349983215332 1 10
61 1 2.69 47.9090003967285 0 10
62 1 0.57 24.0030002593994 0 12
63 1 4.55 17.9820003509521 0 7
64 0 3.91 11.1470003128052 1 6
65 1 0.89 39.9770011901855 1 5
66 0 1 69.1309967041016 0 0
67 1 0.95 37.6529998779297 1 0
68 1 3.55 32.0709991455078 1 7
69 1 4.52 19.0839996337891 0 5
70 1 4.76 23.9120006561279 0 0
71 1 1.99 28.5599994659424 1 5
72 0 2.85 21.9650001525879 0 0
73 0 0.81 91.0070037841797 0 0
74 1 2.85 26.5130004882813 1 8
75 1 2.18 23.3239994049072 0 3
76 1 4.23 31.5919990539551 0 5
77 1 1.92 31.3239994049072 1 0
