male,height,weight
0,63.2,168.7
0,68.7,169.8
0,64.8,176.6
0,67.9,246.8
1,68.9,151.6
1,67.8,158.0
1,68.2,168.6
0,64.8,137.2
1,64.3,177.0
0,64.7,128.0
1,66.9,168.4
1,66.9,136.2
1,67.1,160.3
1,70.2,233.9
1,67.4,171.7
1,71.1,185.5
0,63.4,177.6
1,66.9,132.9
0,71.0,140.1
1,70.4,151.9
0,59.5,147.2
1,70.4,159.0
0,61.5,113.0
1,74.5,194.5
0,65.3,145.1
1,68.8,196.5
0,67.2,148.9
1,68.7,132.9
0,60.0,168.4
0,62.5,146.2
1,72.0,236.4
1,67.9,140.0
1,65.1,156.2
1,63.5,178.7
1,68.2,147.5
0,64.6,97.7
1,68.1,189.6
0,66.2,221.9
0,62.8,168.1
0,65.3,143.1
0,65.8,217.7
0,68.7,133.2
0,63.8,96.5
1,70.6,270.6
0,61.5,137.2
0,61.9,124.2
0,65.1,128.3
1,68.7,203.6
0,57.6,132.4
1,66.3,189.4
1,69.0,174.0
0,63.4,163.3
1,69.5,183.5
1,67.8,193.8
0,61.6,119.7
1,71.2,157.4
1,67.4,146.1
0,66.1,128.3
1,70.7,179.1
0,67.0,140.0
1,66.8,202.2
1,69.9,169.4
0,57.7,122.8
0,62.5,248.5
1,66.6,154.4
0,60.6,140.2
1,70.4,141.6
0,66.4,144.4
0,62.3,116.2
1,73.3,175.0
