,age_end,age_start,area,data_type,effective_sample_size,lower_ci,sex,standard_error,upper_ci,value,year_end,year_start
0,4.0,1.0,europe_western,pf,,1.7e-09,male,-99.0,1.2e-06,1.78e-07,1990.0,1990.0
1,9.0,5.0,europe_western,pf,,1.2e-09,male,-99.0,1.1e-06,1.8e-07,1990.0,1990.0
2,14.0,10.0,europe_western,pf,,1e-09,male,-99.0,4.4e-06,6.59e-07,1990.0,1990.0
3,19.0,15.0,europe_western,pf,,2.8e-08,male,-99.0,1.7e-06,3.76e-07,1990.0,1990.0
4,24.0,20.0,europe_western,pf,,2.8e-07,male,-99.0,3.8e-06,1.32e-06,1990.0,1990.0
5,29.0,25.0,europe_western,pf,,1.8e-06,male,-99.0,7.6e-06,4.11e-06,1990.0,1990.0
6,34.0,30.0,europe_western,pf,,4.5e-06,male,-99.0,1.6e-05,9.39e-06,1990.0,1990.0
7,39.0,35.0,europe_western,pf,,7.8e-06,male,-99.0,2.3e-05,1.45e-05,1990.0,1990.0
8,44.0,40.0,europe_western,pf,,1.1e-05,male,-99.0,3e-05,1.87e-05,1990.0,1990.0
9,49.0,45.0,europe_western,pf,,1.5e-05,male,-99.0,3.9e-05,2.53e-05,1990.0,1990.0
10,54.0,50.0,europe_western,pf,,1.9e-05,male,-99.0,4.8e-05,3.06e-05,1990.0,1990.0
11,59.0,55.0,europe_western,pf,,2.3e-05,male,-99.0,5.8e-05,3.75e-05,1990.0,1990.0
12,64.0,60.0,europe_western,pf,,2.8e-05,male,-99.0,7.3e-05,4.74e-05,1990.0,1990.0
13,69.0,65.0,europe_western,pf,,3.9e-05,male,-99.0,0.000103,6.58e-05,1990.0,1990.0
14,74.0,70.0,europe_western,pf,,5.5e-05,male,-99.0,0.000143,9.04e-05,1990.0,1990.0
15,79.0,75.0,europe_western,pf,,7.6e-05,male,-99.0,0.000201,0.000126,1990.0,1990.0
16,99.0,80.0,europe_western,pf,,0.000125,male,-99.0,0.000328,0.0002029,1990.0,1990.0
17,4.0,1.0,europe_western,pf,,1.4e-09,male,-99.0,9.8e-07,1.43e-07,1995.0,1995.0
18,9.0,5.0,europe_western,pf,,1.1e-09,male,-99.0,9.9e-07,1.54e-07,1995.0,1995.0
19,14.0,10.0,europe_western,pf,,1.2e-09,male,-99.0,3.8e-06,5.52e-07,1995.0,1995.0
20,19.0,15.0,europe_western,pf,,2.8e-08,male,-99.0,1.4e-06,3.5e-07,1995.0,1995.0
21,24.0,20.0,europe_western,pf,,2.2e-07,male,-99.0,2.9e-06,9.87e-07,1995.0,1995.0
22,29.0,25.0,europe_western,pf,,1.6e-06,male,-99.0,6.5e-06,3.4e-06,1995.0,1995.0
23,34.0,30.0,europe_western,pf,,4.3e-06,male,-99.0,1.5e-05,8.45e-06,1995.0,1995.0
24,39.0,35.0,europe_western,pf,,7.8e-06,male,-99.0,2.2e-05,1.35e-05,1995.0,1995.0
25,44.0,40.0,europe_western,pf,,1.1e-05,male,-99.0,2.9e-05,1.82e-05,1995.0,1995.0
26,49.0,45.0,europe_western,pf,,1.4e-05,male,-99.0,3.5e-05,2.23e-05,1995.0,1995.0
27,54.0,50.0,europe_western,pf,,1.7e-05,male,-99.0,4.4e-05,2.74e-05,1995.0,1995.0
28,59.0,55.0,europe_western,pf,,2.1e-05,male,-99.0,5.3e-05,3.4e-05,1995.0,1995.0
29,64.0,60.0,europe_western,pf,,2.6e-05,male,-99.0,6.7e-05,4.33e-05,1995.0,1995.0
30,69.0,65.0,europe_western,pf,,3.7e-05,male,-99.0,9.4e-05,6.16e-05,1995.0,1995.0
31,74.0,70.0,europe_western,pf,,5.1e-05,male,-99.0,0.000131,8.72e-05,1995.0,1995.0
32,79.0,75.0,europe_western,pf,,7.1e-05,male,-99.0,0.000188,0.0001196,1995.0,1995.0
33,99.0,80.0,europe_western,pf,,0.000119,male,-99.0,0.000312,0.0002003,1995.0,1995.0
34,4.0,1.0,europe_western,pf,,1.5e-09,male,-99.0,1e-06,1.39e-07,2000.0,2000.0
35,9.0,5.0,europe_western,pf,,1e-09,male,-99.0,7.1e-07,1.16e-07,2000.0,2000.0
36,14.0,10.0,europe_western,pf,,1.2e-09,male,-99.0,2.8e-06,4.79e-07,2000.0,2000.0
37,19.0,15.0,europe_western,pf,,2.6e-08,male,-99.0,1e-06,2.56e-07,2000.0,2000.0
38,24.0,20.0,europe_western,pf,,1.9e-07,male,-99.0,2.3e-06,7.99e-07,2000.0,2000.0
39,29.0,25.0,europe_western,pf,,1.2e-06,male,-99.0,5e-06,2.61e-06,2000.0,2000.0
40,34.0,30.0,europe_western,pf,,3.4e-06,male,-99.0,1.1e-05,6.07e-06,2000.0,2000.0
41,39.0,35.0,europe_western,pf,,6.7e-06,male,-99.0,1.8e-05,1.09e-05,2000.0,2000.0
42,44.0,40.0,europe_western,pf,,9.7e-06,male,-99.0,2.6e-05,1.6e-05,2000.0,2000.0
43,49.0,45.0,europe_western,pf,,1.3e-05,male,-99.0,3.3e-05,2.12e-05,2000.0,2000.0
44,54.0,50.0,europe_western,pf,,1.6e-05,male,-99.0,3.9e-05,2.48e-05,2000.0,2000.0
45,59.0,55.0,europe_western,pf,,1.9e-05,male,-99.0,4.6e-05,2.98e-05,2000.0,2000.0
46,64.0,60.0,europe_western,pf,,2.3e-05,male,-99.0,5.8e-05,3.8e-05,2000.0,2000.0
47,69.0,65.0,europe_western,pf,,3.3e-05,male,-99.0,8.2e-05,5.46e-05,2000.0,2000.0
48,74.0,70.0,europe_western,pf,,4.7e-05,male,-99.0,0.000118,7.97e-05,2000.0,2000.0
49,79.0,75.0,europe_western,pf,,6.4e-05,male,-99.0,0.000172,0.000112,2000.0,2000.0
50,99.0,80.0,europe_western,pf,,0.000116,male,-99.0,0.000304,0.0002003,2000.0,2000.0
51,4.0,1.0,europe_western,pf,,1.3e-09,male,-99.0,8.5e-07,1.22e-07,2005.0,2005.0
52,9.0,5.0,europe_western,pf,,8.8e-10,male,-99.0,5e-07,7.93e-08,2005.0,2005.0
53,14.0,10.0,europe_western,pf,,1.4e-09,male,-99.0,2.8e-06,4.11e-07,2005.0,2005.0
54,19.0,15.0,europe_western,pf,,1.8e-08,male,-99.0,9.6e-07,2.21e-07,2005.0,2005.0
55,24.0,20.0,europe_western,pf,,1.9e-07,male,-99.0,2.1e-06,7.66e-07,2005.0,2005.0
56,29.0,25.0,europe_western,pf,,8.9e-07,male,-99.0,4.4e-06,2.14e-06,2005.0,2005.0
57,34.0,30.0,europe_western,pf,,2.7e-06,male,-99.0,9.9e-06,5.16e-06,2005.0,2005.0
58,39.0,35.0,europe_western,pf,,5.4e-06,male,-99.0,1.6e-05,9.1e-06,2005.0,2005.0
59,44.0,40.0,europe_western,pf,,8.5e-06,male,-99.0,2.3e-05,1.4e-05,2005.0,2005.0
60,49.0,45.0,europe_western,pf,,1.2e-05,male,-99.0,3e-05,2e-05,2005.0,2005.0
61,54.0,50.0,europe_western,pf,,1.5e-05,male,-99.0,3.7e-05,2.42e-05,2005.0,2005.0
62,59.0,55.0,europe_western,pf,,1.8e-05,male,-99.0,4.3e-05,2.78e-05,2005.0,2005.0
63,64.0,60.0,europe_western,pf,,2.1e-05,male,-99.0,5.4e-05,3.48e-05,2005.0,2005.0
64,69.0,65.0,europe_western,pf,,2.9e-05,male,-99.0,7.7e-05,4.83e-05,2005.0,2005.0
