stfips,ctfips,st,cty,lon,lat,Uppm
01,001,AL,AUTAUGA, -86.643,  32.534,1.78331
01,003,AL,BALDWIN, -87.750,  30.661,1.38323
01,005,AL,BARBOUR, -85.393,  31.870,2.10105
01,007,AL,BIBB, -87.126,  32.998,1.67313
01,009,AL,BLOUNT, -86.568,  33.981,1.88501
01,011,AL,BULLOCK, -85.716,  32.100,2.46112
01,013,AL,BUTLER, -86.680,  31.752,1.91714
01,015,AL,CALHOUN, -85.827,  33.772,1.97532
01,017,AL,CHAMBERS, -85.392,  32.914,1.75695
01,019,AL,CHEROKEE, -85.604,  34.176,1.76798
01,021,AL,CHILTON, -86.719,  32.848,1.83799
01,023,AL,CHOCTAW, -88.261,  32.022,1.60929
01,025,AL,CLARKE, -87.831,  31.679,1.52789
01,027,AL,CLAY, -85.861,  33.269,2.33412
01,029,AL,CLEBURNE, -85.519,  33.674,2.22778
01,031,AL,COFFEE, -85.988,  31.402,1.76784
01,033,AL,COLBERT, -87.805,  34.700,1.90109
01,035,AL,CONECUH, -86.994,  31.429,1.63786
01,037,AL,COOSA, -86.247,  32.936,2.1924
01,039,AL,COVINGTON, -86.451,  31.248,1.55775
01,041,AL,CRENSHAW, -86.314,  31.731,1.94381
01,043,AL,CULLMAN, -86.868,  34.132,2.02159
01,045,AL,DALE, -85.611,  31.432,1.55431
01,047,AL,DALLAS, -87.107,  32.325,2.33182
01,049,AL,DEKALB, -85.804,  34.460,1.72305
01,051,AL,ELMORE, -86.150,  32.597,2.12026
01,053,AL,ESCAMBIA, -87.162,  31.126,1.51034
01,055,AL,ETOWAH, -86.035,  34.045,1.90331
01,057,AL,FAYETTE, -87.739,  33.721,1.77771
01,059,AL,FRANKLIN, -87.844,  34.442,1.853
01,061,AL,GENEVA, -85.839,  31.095,1.53492
01,063,AL,GREENE, -87.953,  32.850,2.09821
01,065,AL,HALE, -87.628,  32.764,2.21468
01,067,AL,HENRY, -85.242,  31.514,1.74295
01,069,AL,HOUSTON, -85.303,  31.153,1.68112
01,071,AL,JACKSON, -85.999,  34.779,1.98385
01,073,AL,JEFFERSON, -86.897,  33.554,1.98541
01,075,AL,LAMAR, -88.097,  33.779,1.77351
01,077,AL,LAUDERDALE, -87.654,  34.901,1.91972
01,079,AL,LAWRENCE, -87.311,  34.522,2.09307
01,081,AL,LEE, -85.356,  32.601,2.09977
01,083,AL,LIMESTONE, -86.981,  34.810,2.26398
01,085,AL,LOWNDES, -86.651,  32.153,2.49318
01,087,AL,MACON, -85.693,  32.386,2.42199
01,089,AL,MADISON, -86.550,  34.763,2.44822
01,091,AL,MARENGO, -87.787,  32.247,2.02724
01,093,AL,MARION, -87.887,  34.136,1.77443
01,095,AL,MARSHALL, -86.307,  34.367,1.88005
01,097,AL,MOBILE, -88.198,  30.685,1.20665
01,099,AL,MONROE, -87.366,  31.570,1.61623
01,101,AL,MONTGOMERY, -86.208,  32.220,2.63408
01,103,AL,MORGAN, -86.854,  34.453,2.12288
01,105,AL,PERRY, -87.294,  32.639,2.25754
01,107,AL,PICKENS, -88.089,  33.281,1.9366
01,109,AL,PIKE, -85.941,  31.802,1.91657
01,111,AL,RANDOLPH, -85.459,  33.294,2.34661
01,113,AL,RUSSELL, -85.185,  32.289,2.3961
01,115,AL,STCLAIR, -86.315,  33.715,1.79294
01,117,AL,SHELBY, -86.660,  33.264,1.82097
01,119,AL,SUMTER, -88.200,  32.588,2.0113
01,121,AL,TALLADEGA, -86.165,  33.379,2.05354
01,123,AL,TALLAPOOSA, -85.798,  32.862,1.77118
01,125,AL,TUSCALOOSA, -87.525,  33.289,1.71188
01,127,AL,WALKER, -87.297,  33.803,1.97736
01,129,AL,WASHINGTON, -88.208,  31.408,1.48708
01,131,AL,WILCOX, -87.308,  31.989,1.84745
01,133,AL,WINSTON, -87.374,  34.149,1.68318
04,001,AZ,APACHE,-109.488,  35.396,2.26437
04,003,AZ,COCHISE,-109.751,  31.879,2.34707
04,005,AZ,COCONINO,-111.770,  35.839,2.01841
04,007,AZ,GILA,-110.812,  33.801,2.3866
04,009,AZ,GRAHAM,-109.887,  32.933,2.40633
04,011,AZ,GREENLEE,-109.240,  33.215,1.58747
04,012,AZ,LAPAZ,-113.980,  33.729,0
04,013,AZ,MARICOPA,-112.491,  33.349,3.11518
04,015,AZ,MOHAVE,-113.757,  35.704,2.71407
04,017,AZ,NAVAJO,-110.321,  35.400,2.42466
04,019,AZ,PIMA,-111.789,  32.097,3.43326
04,021,AZ,PINAL,-111.344,  32.904,2.99849
04,023,AZ,SANTACRUZ,-110.846,  31.526,3.76713
04,025,AZ,YAVAPAI,-112.554,  34.600,2.66527
04,027,AZ,YUMA,-113.904,  32.769,3.39032
05,001,AR,ARKANSAS, -91.374,  34.291,1.84946
05,003,AR,ASHLEY, -91.768,  33.191,1.73017
05,005,AR,BAXTER, -92.336,  36.287,1.50418
05,007,AR,BENTON, -94.259,  36.339,1.4714
05,009,AR,BOONE, -93.091,  36.308,1.53893
05,011,AR,BRADLEY, -92.162,  33.465,1.66546
05,013,AR,CALHOUN, -92.504,  33.559,1.67584
05,015,AR,CARROLL, -93.540,  36.341,1.52575
05,017,AR,CHICOT, -91.295,  33.267,1.89498
05,019,AR,CLARK, -93.176,  34.051,1.7161
05,021,AR,CLAY, -90.417,  36.369,2.12144
05,023,AR,CLEBURNE, -92.027,  35.538,1.88281
