1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
4.08,-0.29,6.36,4.37,-2.38,-9.66,-0.73,-5.34,8.88,9.22,6.75,8.64,4.42,7.43,4.56,-0.97,4.66,-0.68,3.3,-1.21,0.87,8.64,8.35,9.17,0.05,7.57,4.71,0.87,-0.39,6.99,6.5,-0.92,7.14,9.03,-1.8,0.73,7.09,3.4,-0.87,7.91,7.82,-3.83,8.64,8.98,-4.32,-3.2,-4.9,-0.92,-1.46,3.64,3.16,9.03,0.97,-1.31,-6.5,-3.2,8.64,-2.14,0.1,9.03,-6.7,-3.35,-9.03,4.47,4.08,-3.83,8.74,1.12,0.78,7.52,-5.0,2.77,8.3,7.77,7.33,6.21,7.72,8.98,8.64,8.2,3.93,4.85,4.85,6.07,8.98,4.51,-0.05,3.69,4.56,0.58,2.82,-4.95,-0.29,7.86,-0.19,-2.14,3.06,0.34,-4.32,1.07
-6.17,-3.54,0.44,-8.5,-7.09,-4.32,-8.69,-0.87,-6.65,-1.8,-6.8,-5.73,-5.0,-8.59,0.49,-8.93,-3.69,-2.18,-2.28,-6.12,-3.01,-0.58,-2.38,-7.77,-2.23,-2.28,-5.24,-5.53,-0.68,-6.94,-3.93,-0.34,-6.6,-5.49,-1.55,-0.49,-6.21,-8.06,-5.39,-7.04,-8.83,-7.91,1.07,-1.89,-6.36,-4.22,-9.27,-9.81,-7.82,-0.63,-6.31,-7.48,-6.07,-3.45,-3.2,0.53,-9.27,-9.56,-5.49,-1.12,-6.65,-2.86,-4.61,-9.42,-7.91,-9.81,-9.42,-8.98,-1.94,-6.99,-9.66,-5.19,-5.0,-4.42,-7.28,-6.5,-4.32,-6.94,-9.85,0.73,-6.21,-2.86,-7.62,-6.12,-0.29,-1.41,-3.93,-1.94,-5.68,-4.71,-3.54,-6.89,-0.68,-2.96,-2.18,-3.35,0.05,-9.08,-5.05,-3.45
6.84,3.16,9.17,-6.21,-8.16,-1.7,9.27,1.41,-5.19,-4.42,8.2,-7.86,-6.94,-7.96,0.29,-9.9,-7.09,-7.18,1.02,-0.29,-4.71,-7.43,1.12,-8.25,3.79,0.1,3.45,-3.45,7.57,-4.17,-0.44,9.27,5.83,-3.4,-5.44,1.6,-7.14,3.01,-6.07,5.68,-6.46,-4.42,-8.98,0.53,-1.26,-4.42,-8.93,8.93,-0.1,7.43,-4.51,-7.38,4.17,-9.03,-2.14,1.31,-5.68,-9.08,-6.21,2.48,-3.2,-6.12,-2.91,-9.22,-2.62,-7.33,-3.25,-4.22,-9.81,-2.09,-9.9,-3.79,0.49,-7.86,-9.85,1.8,-4.17,-2.38,-9.13,-8.88,3.54,-4.56,-5.44,-5.97,-9.9,-0.34,-4.13,-0.1,-0.24,-7.96,7.23,-1.12,-0.1,-5.68,-3.16,-3.35,2.14,-0.05,1.31,0.0
-3.79,-3.54,-9.42,-6.89,-8.74,-0.29,-5.29,-8.93,-7.86,-1.6,-2.91,-0.29,-4.85,-0.49,-8.74,-6.99,-8.74,-2.91,-3.35,-0.29,3.98,-1.6,-0.29,1.21,3.79,2.91,4.85,2.28,0.97,-0.29,6.36,0.53,-0.29,4.66,3.35,0.97,-3.11,-1.84,4.42,-4.42,-1.41,1.41,-5.34,-6.99,1.41,5.1,1.84,-0.29,0.53,-0.29,-6.99,-3.54,6.36,1.84,3.35,-0.29,-0.29,-5.29,-6.89,-5.29,1.21,5.53,1.41,-6.5,4.85,4.85,2.62,1.41,6.36,1.41,-4.76,4.17,-2.04,-6.31,-0.29,-0.29,0.78,-0.29,-0.29,-0.29,-0.29,-3.2,-0.29,-3.2,-3.4,-0.29,-0.29,5.73,4.56,-2.23,4.37,-0.29,4.17,-0.29,-0.29,-0.29,-0.29,-0.29,-3.4,-4.95
1.31,1.8,2.57,-2.38,0.73,0.73,-0.97,5.0,-7.23,-1.36,3.83,1.75,5.63,-2.86,-1.8,-2.04,5.53,-0.29,-0.58,1.36,2.43,0.63,-4.61,-4.37,-1.65,-1.36,7.57,-0.15,5.97,-3.5,0.24,4.27,-0.68,-3.79,7.62,5.15,2.43,0.1,0.83,-2.04,0.53,2.33,-2.28,-5.15,-0.58,-1.26,2.04,-1.41,2.38,6.6,2.04,-1.99,-2.77,-0.49,1.75,0.92,-6.89,-5.29,0.68,-2.38,-0.15,-0.24,1.46,-2.14,2.43,-2.43,-5.1,-0.49,0.15,-2.62,-2.91,1.12,1.7,0.0,2.04,3.06,-4.47,2.04,1.12,3.3,1.46,0.68,-2.57,-0.63,0.58,-0.63,1.89,2.38,6.21,-2.52,1.46,1.7,0.29,-3.3,3.45,5.44,4.08,2.48,4.51,4.66
9.22,9.27,9.22,8.3,7.43,0.44,3.5,8.16,5.97,8.98,3.74,5.87,8.69,6.31,1.07,-9.13,3.69,-7.33,3.88,-7.48,8.45,9.17,9.22,9.03,9.27,4.42,8.69,1.75,7.57,-7.14,8.93,6.8,0.87,7.23,8.79,8.79,7.43,8.59,8.54,9.17,8.2,8.54,8.2,9.17,9.08,2.86,-2.38,7.43,1.17,-0.29,5.0,8.35,7.62,8.16,8.06,8.35,9.22,-9.27,7.14,9.08,4.08,-9.81,-7.14,9.32,7.14,7.57,-5.78,-6.55,-7.23,6.36,-7.57,8.93,0.15,8.93,-6.21,8.35,3.35,8.69,-8.45,8.79,8.88,-8.69,7.77,-0.83,7.62,8.2,5.44,8.93,8.45,2.09,8.11,-1.02,5.58,6.84,5.53,-5.92,8.2,8.98,-8.16,6.5
8.79,-5.78,6.02,3.69,7.77,-5.83,8.69,8.59,-5.92,7.52,-4.85,-7.28,-6.75,-1.99,-3.79,4.42,4.85,-8.83,-7.96,0.49,5.05,-9.51,-0.44,-4.32,4.85,-3.5,-9.22,1.46,4.51,-4.95,-3.16,4.42,-3.79,-9.47,-9.51,6.55,-2.96,-8.35,1.7,4.03,5.1,-4.37,8.3,-4.81,-7.91,-3.01,-5.05,8.88,5.24,-8.01,7.91,-9.51,-9.47,-1.6,-3.69,-4.85,-8.98,-7.04,-5.73,8.69,-7.67,-7.62,8.64,-0.53,3.79,2.57,8.54,-0.58,-3.74,-8.54,3.54,0.49,3.35,3.59,3.54,5.63,-0.83,-4.61,-2.57,-7.04,6.07,3.16,5.87,4.03,-0.68,1.17,3.2,-0.34,8.69,1.12,2.72,-5.49,-8.59,8.69,-8.74,-3.01,8.3,-4.81,-2.38,-5.97
-3.5,1.55,2.33,-4.13,4.22,-2.28,-2.96,-0.49,2.91,1.99,-1.99,5.53,-4.66,4.9,2.52,-0.68,0.0,-2.23,-6.6,-0.29,5.73,-1.65,-3.83,-4.13,-3.88,-2.43,5.73,-0.68,5.97,-3.45,0.63,0.19,3.06,7.04,5.39,5.78,-7.96,-0.19,1.65,-1.12,1.02,-5.05,-6.17,-4.37,-3.79,3.4,0.97,-3.54,4.22,5.24,3.93,4.22,-7.18,1.8,-1.17,4.17,-5.24,-6.8,3.93,-3.93,-0.68,0.53,-4.51,-2.96,6.02,3.2,-3.69,6.41,3.93,-3.3,4.22,-3.4,-3.2,-4.37,-2.38,-3.64,-0.39,2.04,-5.68,-4.22,-6.6,-4.47,6.21,-2.28,-1.94,-6.26,0.49,-0.87,4.47,-2.77,3.11,1.7,0.24,-5.92,7.28,-1.36,3.74,2.82,-2.86,3.45
3.16,7.62,3.79,8.25,4.22,7.62,2.43,0.97,0.53,0.83,3.5,3.3,5.05,4.71,2.57,-0.73,1.02,-1.21,2.23,0.97,0.97,-0.15,5.63,0.19,2.52,4.66,6.5,1.21,6.46,5.58,0.83,3.69,3.64,2.52,5.83,3.06,7.18,1.75,-2.18,0.24,2.82,0.97,3.93,7.67,2.86,3.69,5.53,2.14,2.43,4.66,1.07,5.68,4.08,5.1,1.07,7.18,1.17,3.74,5.39,3.06,3.93,3.79,5.49,3.16,3.11,2.48,6.75,4.13,5.63,5.73,0.58,5.92,3.88,0.78,2.62,7.48,7.38,7.33,7.86,6.65,7.33,2.62,7.86,7.48,5.78,0.1,7.96,-0.05,7.72,5.1,0.83,5.68,3.69,0.19,0.29,3.59,0.49,8.06,0.49,7.62
2.09,-7.57,4.17,-8.4,-6.31,5.34,-5.19,-5.05,-8.2,2.28,1.17,5.73,-6.26,-0.63,-7.14,-5.58,1.5,-1.21,-1.17,-0.34,5.78,-3.5,0.1,-4.32,-0.24,5.92,5.97,-0.68,-0.92,1.21,-0.05,2.04,-8.54,-0.58,0.1,-5.83,-8.69,-0.83,2.86,-7.38,1.6,0.1,-1.36,-3.98,1.55,-0.78,0.39,3.11,-0.49,2.72,-8.11,0.39,5.29,3.98,-3.3,0.19,-7.86,-9.03,0.92,-4.42,3.54,-0.1,-0.1,-4.08,7.28,5.78,-5.29,3.45,6.8,-4.42,6.65,7.28,0.34,3.3,-0.92,7.43,2.77,6.21,6.46,5.53,7.43,5.87,4.9,6.21,3.59,4.76,7.52,8.25,8.5,2.67,3.06,8.25,8.5,-9.51,8.45,8.16,7.82,8.5,8.35,-8.35
