Date,GFI,GLD
2010-01-04,13.55,109.82
2010-01-05,13.51,109.88
2010-01-06,13.7,110.71
2010-01-07,13.63,111.07
2010-01-08,13.72,111.52
2010-01-11,14.05,113.34
2010-01-12,13.46,112.38
2010-01-13,13.5,110.92
2010-01-14,13.33,111.51
2010-01-15,13.32,
2010-01-19,13.05,110.95
2010-01-20,12.83,109.97
2010-01-21,12.76,108.48
2010-01-22,12.05,106.93
2010-01-25,12.71,107.44
2010-01-26,12.14,106.87
2010-01-27,12.09,107.53
2010-01-28,12.23,107.18
2010-01-29,11.86,105.88
2010-02-01,11.74,106.64
2010-02-02,12.35,109.16
2010-02-03,11.94,109.1
2010-02-04,11.48,106.79
2010-02-05,11.3,103.76
2010-02-08,11.43,104.41
2010-02-09,11.37,105.18
2010-02-10,11.56,105.13
2010-02-11,11.53,105.58
2010-02-12,11.69,
2010-02-16,12.31,109.45
2010-02-17,12.43,109.66
2010-02-18,12.18,109.61
2010-02-19,11.94,109.32
2010-02-22,11.89,109.86
2010-02-23,11.69,108.84
2010-02-24,11.2,107.33
2010-02-25,11.01,106.7
2010-02-26,11.46,108.89
2010-03-01,11.5,109.48
2010-03-02,11.71,109.86
2010-03-03,12.27,111.46
2010-03-04,12.29,111.25
2010-03-05,12.12,111.13
2010-03-08,12.5,111.22
2010-03-09,12.18,109.16
2010-03-10,12.26,109.94
2010-03-11,11.92,108.28
2010-03-12,12.13,108.56
2010-03-15,12.0,108.16
2010-03-16,12.24,110.02
2010-03-17,12.44,110.18
2010-03-18,12.46,110.1
2010-03-19,12.49,110.26
2010-03-22,12.13,107.31
2010-03-23,12.39,107.5
2010-03-24,12.21,106.94
2010-03-25,12.21,107.0
2010-03-26,12.03,107.16
2010-03-29,12.22,108.87
2010-03-30,12.43,108.57
2010-03-31,12.45,109.44
2010-04-01,12.68,
2010-04-05,12.88,110.56
2010-04-06,12.9,110.89
2010-04-07,13.07,111.85
2010-04-08,13.16,112.47
2010-04-09,13.24,113.09
2010-04-12,13.22,113.64
2010-04-13,13.0,113.12
2010-04-14,13.03,113.23
2010-04-15,12.98,112.9
2010-04-16,12.88,112.5
2010-04-19,12.56,110.88
2010-04-20,12.73,111.73
2010-04-21,12.68,111.82
2010-04-22,12.7,111.79
2010-04-23,12.77,111.26
2010-04-26,13.15,112.88
2010-04-27,12.82,112.43
2010-04-28,12.91,114.03
2010-04-29,13.25,113.85
2010-04-30,13.34,115.26
2010-05-03,13.45,115.91
2010-05-04,13.33,116.39
2010-05-05,12.88,113.58
2010-05-06,12.93,115.62
2010-05-07,12.88,117.64
2010-05-10,12.77,117.5
2010-05-11,13.47,119.46
2010-05-12,13.93,121.28
2010-05-13,13.85,121.29
2010-05-14,13.94,121.88
2010-05-17,13.78,120.55
2010-05-18,13.46,118.86
2010-05-19,13.0,118.19
2010-05-20,12.58,116.14
2010-05-21,12.16,115.05
2010-05-24,12.84,116.34
2010-05-25,12.74,117.16
2010-05-26,13.34,118.58
2010-05-27,13.5,118.16
2010-05-28,13.62,
2010-06-01,13.82,119.88
2010-06-02,13.81,119.35
2010-06-03,13.99,119.16
2010-06-04,13.42,117.96
2010-06-07,13.25,118.73
2010-06-08,13.48,121.61
2010-06-09,13.47,120.48
2010-06-10,13.35,119.36
2010-06-11,13.32,119.88
2010-06-14,13.47,119.63
2010-06-15,13.54,119.71
2010-06-16,13.55,120.68
2010-06-17,14.01,121.64
2010-06-18,14.3,123.04
2010-06-21,13.97,123.09
2010-06-22,13.59,121.16
2010-06-23,13.56,120.89
2010-06-24,13.46,120.76
2010-06-25,13.66,122.75
2010-06-28,13.95,122.79
2010-06-29,13.66,121.05
2010-06-30,13.45,121.07
2010-07-01,13.27,120.91
2010-07-02,13.03,
2010-07-06,13.05,117.67
2010-07-07,12.95,116.57
2010-07-08,13.16,117.39
2010-07-09,13.03,118.14
2010-07-12,13.07,117.83
2010-07-13,13.4,118.98
2010-07-14,13.28,118.26
2010-07-15,13.51,118.59
2010-07-16,13.14,116.69
2010-07-19,12.79,115.57
2010-07-20,12.33,115.75
2010-07-21,12.74,116.8
2010-07-22,12.89,115.95
2010-07-23,13.15,117.12
2010-07-26,13.14,116.38
2010-07-27,13.04,114.95
2010-07-28,12.91,113.48
2010-07-29,13.04,113.54
2010-07-30,13.16,114.36
2010-08-02,13.62,116.12
2010-08-03,13.67,115.88
2010-08-04,14.15,117.41
2010-08-05,14.15,117.01
2010-08-06,14.13,117.99
2010-08-09,13.85,117.76
2010-08-10,13.85,116.59
2010-08-11,14.26,117.74
2010-08-12,14.15,118.56
2010-08-13,14.17,118.82
2010-08-16,14.07,119.7
2010-08-17,14.14,119.75
2010-08-18,14.02,119.23
2010-08-19,14.2,120.65
